brand,platform,pattern
HUFT Treats,google,%huft treat%
HUFT Treats,google,%huft treats%
HUFT Treats,meta,%hufttreats%
Hearty,google,%hearty%
Hearty,meta,%hearty%
Meowsi,google,%meowsi%
Meowsi,meta,%meowsi%
NutriMeow,google,%nutrimeow%
NutriMeow,meta,%nutrimeow%
Sara's,google,%sara%
Sara's,meta,%sara%
Sara's Treats,meta,%saratreats%
Treats Portfolio,google,%treat%
Treats Portfolio,google,%treats%
Treats Portfolio,meta,%treats%
YIMT,google,%yimt%
YIMT,meta,%yimt%
Yakies,google,%yakies%
Yakies,meta,%yakies%
Yum Num,meta,%yumnum%
