brand,platform,pattern,priority
Treats Portfolio,meta,%treat%,200
Treats Portfolio,meta,%treats%,200
Treats Portfolio,google,%treat%,200
Treats Portfolio,google,%treats%,200
Yakies,meta,%yakies%,100
Yakies,google,%yakies%,100
YIMT,meta,%yimt%,100
YIMT,google,%yimt%,100
Yum Num,meta,%yumnum%,100
Yum Num,meta,%yum num%,100
Yum Num,google,%yumnum%,100
Yum Num,google,%yum num%,100
Hearty,meta,%hearty%,100
Hearty,meta,%heartyk%,100
Hearty,google,%hearty%,100
Meowsi,meta,%meowsi%,100
Meowsi,google,%meowsi%,100
NutriMeow,meta,%nutrimeow%,100
NutriMeow,google,%nutrimeow%,100
Sara's,meta,%sara%,80
Sara's,google,%sara%,80
Sara's,meta,%swf%,80
Sara's,google,%swf%,80
Sara's,meta,%wholesome%,120
Sara's,google,%wholesome%,120
