month_start,campaign_name,campaign_type,paid_spend,orders_platform,cpa_platform,revenue_paid_attribution,revenue_shopify_attribution,roas_paid_attribution,roas_shopify_attribution,revenue_gap_paid_vs_shopify,roas_paid_over_shopify
2025-12,Pmax_Dog_Food_Sara's_Wholesome_Food_SWF,Performance Max,171166.65,116.39,1470.630208780823,290684.03,252142.19,1.6982515577654878,1.4730801239610638,38541.840000000026,1.152857560252015
2025-12,Pmax_Sara's_wholesome_New_Customer,Performance Max,142210.33,321.65,442.12756101352403,709922.79,818572.64,4.9920620393750585,5.756070181399622,-108649.84999999998,0.8672691405859839
2025-12,Search_Dog_Food_Sara_Wholesome_Food,Search,95121.65,63.08,1507.952599873177,148150.13,170570.25,1.5574806576631084,1.793180101480578,-22420.119999999995,0.868557852263217
2026-01,Pmax_Sara's_wholesome_New_Customer,Performance Max,106314.55,273.23,389.10277055960177,637281.37,618286.97,5.994300591969773,5.815638311030804,18994.400000000023,1.0307210096955466
2026-01,Pmax_Dog_Food_Sara's_Wholesome_Food_SWF,Performance Max,80709.24,61.74,1307.2439261418854,138647.42,118388.24,1.7178630352608946,1.4668486532644838,20259.180000000008,1.1711249360578382
2026-01,Search_Dog_Food_Sara_Wholesome_Food,Search,49273.07,36.14,1363.3942999446597,63654.74,65758.02,1.2918768812253834,1.334563078777109,-2103.280000000006,0.9680148520286954
2026-02,Pmax_Sara's_wholesome_New_Customer,Performance Max,142447.23,203.78,699.0245853371283,564655.77,521241.02,3.9639645502408154,3.6591867739372677,43414.75,1.0832911231736904
2026-02,Pmax_Dog_Food_Sara's_Wholesome_Food_SWF,Performance Max,140371.12,75.13,1868.37641421536,121615.73,99868.9,0.8663871172360811,0.7114632981485081,21746.83,1.2177537751992862
2026-02,Search_Dog_Food_Sara_Wholesome_Food,Search,72611.06,49.68,1461.5752818035426,100809.83,133340.07,1.388353647502185,1.8363603285780432,-32530.240000000005,0.7560355263050333
