source_group,month,status
amazon_sales,2025-12,available
amazon_sales,2026-01,available
amazon_sales,2026-02,available
google_ads_campaign,2025-12,available
google_ads_campaign,2026-01,available
google_ads_campaign,2026-02,available
google_shopify,2025-12,available
google_shopify,2026-01,available
google_shopify,2026-02,available
meta_blinkit,2025-12,available
meta_blinkit,2026-01,available
meta_blinkit,2026-02,available
meta_d2c_adset,2025-12,available
meta_d2c_adset,2026-01,available
meta_d2c_adset,2026-02,available
meta_instamart,2025-12,missing
meta_instamart,2026-01,available
meta_instamart,2026-02,available
meta_shopify_sales,2025-12,available
meta_shopify_sales,2026-01,available
meta_shopify_sales,2026-02,available
