Ad set name,Results,Cost per results,Ad set budget,Amount spent (INR),Impressions,Reach,"CPM (cost per 1,000 impressions) (INR)",Purchases,Attribution setting,Purchase ROAS (return on ad spend),Results ROAS,Result value indicator,Results value,CTR (all),3-second video plays,CPC (all) (INR),Link clicks,month_start,source_file
DTC_SWF_Conv_478cities,444,812.8547973,5000,360907.53,3306720,1234129,109.143662,460,7-day click or 1-day view,2.617513,2.51760386,action_values:offsite_conversion.fb_pixel_purchase,908622.19,0.548338,501271,19.904452,10631,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_Conv_TopSWFCities,328,861.0717683,3000,282431.54,4424991,2277173,63.826467,328,7-day click or 1-day view,2.314283,2.31428314,action_values:offsite_conversion.fb_pixel_purchase,653626.55,0.618261,720792,10.323545,12984,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_IndiaDogProducts,935,506.2751444,5000,473367.26,3628143,609548,130.470949,935,7-day click or 1-day view,4.662988,4.66298789,action_values:offsite_conversion.fb_pixel_purchase,2207305.8,2.407099,331658,5.420256,83708,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_IG-LA2,275,612.1699273,4000,168346.73,2187411,978996,76.961636,292,"7-day click, 1-day view or 1-day engaged view",4.615075,4.51662702,action_values:offsite_conversion.fb_pixel_purchase,760359.39,0.698406,280845,11.01962,6062,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_Punjab,5,3359.21,3000,16796.05,447241,262779,37.554808,5,"7-day click, 1-day view or 1-day engaged view",0.555664,0.55566398,action_values:purchase,9332.96,3.09587,53674,1.213062,1915,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_Metros_BrandFilm,239,451.056318,7000,107802.46,2198625,976757,49.031763,239,"7-day click, 1-day view or 1-day engaged view",5.545818,5.54581797,action_values:purchase,597852.82,2.039184,161480,2.40448,6460,2025-12,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard_AdsetLevel-Dec_25.csv
DTC_SWF_Conv_478cities,358,442.3208101,5000,158350.85,1045504,267970,151.458866,365,7-day click or 1-day view,5.55937,5.49886483,,870749.92,0.732087,75537,20.68864,4392,2026-01,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv
DTC_SWF_Conv_TopSWFCities,125,693.52856,3000,86691.07,1293612,531643,67.014739,125,7-day click or 1-day view,2.239639,2.23963922,,194156.72,0.492265,115863,13.613547,3585,2026-01,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv
DTC_SWF_IndiaDogProducts,540,428.4037778,5000,231338.04,1594412,273152,145.093012,540,7-day click or 1-day view,5.243534,5.24353375,,1213028.82,2.343497,98446,6.191303,36092,2026-01,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv
DTC_SWF_IG-LA2,287,482.9444599,4000,138605.06,1542053,496769,89.883461,287,"7-day click, 1-day view or 1-day engaged view",4.093608,4.09360827,,567394.82,0.349988,110620,25.681871,3302,2026-01,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv
DTC_SWF_Metros_BrandFilm,564,285.4801773,7000,161010.82,5624884,2453606,28.624736,564,"7-day click, 1-day view or 1-day engaged view",7.912751,7.91275096,,1274038.52,1.240523,445368,2.307473,12001,2026-01,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-Adsetlevel-Jan_26.csv
DTC_SWF_Conv_478cities,249,605.2022088,5000,150695.35,1046564,428474,143.990573,249,7-day click or 1-day view,3.066179,3.06617855,,462058.85,1.071697,118128,13.435748,5039,2026-02,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv
DTC_SWF_Conv_TopSWFCities,159,747.4005031,3000,118836.68,677511,271134,175.401846,159,7-day click or 1-day view,2.357415,2.3574154,,280147.42,1.003969,8179,17.470844,4371,2026-02,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv
DTC_SWF_IndiaDogProducts,397,462.4884131,5000,183607.9,1002116,221992,183.220206,397,7-day click or 1-day view,4.879505,4.8795048,,895915.63,4.635691,114682,3.952382,49088,2026-02,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv
DTC_SWF_IG-LA2,238,554.3105462,4000,131925.91,2976821,1603613,44.317717,238,"7-day click, 1-day view or 1-day engaged view",3.328227,3.32822726,,439079.41,0.411546,257154,10.768583,5078,2026-02,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv
DTC_SWF_Metros_BrandFilm,612,317.3655719,7000,194227.73,6243119,1340514,31.110688,612,"7-day click, 1-day view or 1-day engaged view",7.196716,7.19671594,,1397801.8,0.5446,305767,5.71258,11159,2026-02,dashboard_data/SWFXMetaDashboard/SWF-MetaDashboard-AdsetLevel-Feb_26.csv
