Order UTM campaign,Order UTM medium,Orders,campaign_type_exact,campaign_type_fuzzy,campaign_type_inferred,campaign_type_final
Search_Exact_BrandCore,Search,1789,Search,Search,Search,Search
Shopping_Catch_All,Shopping,1701,Shopping,Shopping,Shopping,Shopping
Pmax_EOSS_Jan_2026,,421,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Sara's_New_Customer,,281,,Performance Max,Performance Max,Performance Max
Pmax_Dog_Food_Other_Acana,Pmax,144,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Dog_Food_Cat_Food_Other_Orijen,Pmax,176,Performance Max,Performance Max,Performance Max,Performance Max
PMax_Dog_Food_Other_Brands,PMax,96,Performance Max,Performance Max,Performance Max,Performance Max
Search_Dog_Treats_HUFT_And_Sara's,Search,147,,Search,Search,Search
PMax_Dog_Food_Cat_Food_Other_Royal_Canin,PMax,83,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Dog_Treat_Sara's_and_HUFT,PMax,207,,Performance Max,Performance Max,Performance Max
Search__Farmina_Dog_Food_Cat_Food_Other,Search,60,Search,Search,Search,Search
Search_Royal_Canin_Dog_Food_Cat_Food,Search,58,Search,Search,Search,Search
Search_All_Competitors,Search,66,Search,Search,Search,Search
Pmax_Cat_Food_Other_Sheba_Whiskas,PMax,101,Performance Max,Performance Max,Performance Max,Performance Max
Search_Dog_Food_Hearty,Search,60,Search,Search,Search,Search
Pmax_Dog_Treats_Other,PMax,67,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Dog_Winter_collection,,60,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Dog_Food_Sara's_Wholesome_Food_SWF,PMax,59,Performance Max,Performance Max,Performance Max,Performance Max
PMax_HUFT_Treats_Biscuits,PMax,70,Performance Max,Performance Max,Performance Max,Performance Max
Search_Cat_Food_Treat_Meowsi,Search,29,Search,Search,Search,Search
Search_Dog_Food_Other_Generic,Search,30,Search,Search,Search,Search
Search_Cat_Food_Other_Whiskas,Search,43,Search,Search,Search,Search
search_dog_winter_collection,,56,Search,Search,Unknown,Search
Search_Cat_Food_Other_Generic,Search,33,Search,Search,Search,Search
Search_Dog_Treats_HUFT_Biscuits,Search,49,,Search,Search,Search
Search_Dog_Food_Sara_Wholesome_Food,Search,40,Search,Search,Search,Search
Search_Cat_Food_Other_Sheba,Search,23,Search,Search,Search,Search
Pmax_Nutrimeow,,33,,,Performance Max,Performance Max
Pmax_Dog_Food_Cat_Food_Other_Farmina,PMax,17,Performance Max,Performance Max,Performance Max,Performance Max
Search_Dog_Food_Other_Pedigree,Search,26,Search,Search,Search,Search
Pmax_Beds_and_Mat,PMax,9,Performance Max,Performance Max,Performance Max,Performance Max
PMax_Cat_Food_Meowsi,PMax,20,Performance Max,Performance Max,Performance Max,Performance Max
Search_Dog_Collar_Leash_Harness,Search,9,Search,Search,Search,Search
Search_Dog_Collar-Leash-Harness,Search,11,Search,Search,Search,Search
PMax_Cat_Food_Other,PMax,10,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Cat_Treats_Other,PMax,11,Performance Max,Performance Max,Performance Max,Performance Max
Pmax_Hearty_Dog_Food,PMax,4,Performance Max,Performance Max,Performance Max,Performance Max
Search_DSA,Search,2,,,Search,Search
Pmax_Cat_Food,PMax,1,,Performance Max,Performance Max,Performance Max
PMax_HUFT_Treat_Biscuits,PMax,1,,Performance Max,Performance Max,Performance Max
PMax_HUFT_Treat_Biscuits,Pmax_HUFT_Treats_and_Biscuits,1,,Performance Max,Performance Max,Performance Max
Search__Farmina_Dog_Food_Cat_Food,Search,1,,Search,Search,Search
PMax_Dog_Food_Cat_Food_Royal_Canin,PMax,1,,Performance Max,Performance Max,Performance Max
Search_Dog_Food_Other_Brands,Search,1,,Performance Max,Search,Performance Max
PMax_Master_Catalog_Healthcare,PMax_Master_Catalog_Healthcare,1,,,Performance Max,Performance Max
,,0,,,Unknown,Unknown
PMax_Collar_Leash_Harness,PMax,0,,,Performance Max,Performance Max
Pmax_Grooming_Dog_Cat,PMax,0,,,Performance Max,Performance Max
Search_Dog_Toys,Search,0,,,Search,Search
Pmax_Dog_Food_Hearty,PMax,0,,Search,Performance Max,Search
Pmax_All_Toys,PMax,0,,,Performance Max,Performance Max
PMax_Collar_Leash_Harness_DashDog,PMax,0,,,Performance Max,Performance Max
Pmax_Master_Catalog_Healthcare,PMax,0,,,Performance Max,Performance Max
